<TICKER>,<PER>,<DTYYYYMMDD>, <TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
khmotor-D1,D1,20091005,000000,127,135,127,128,97182,0
khmotor-D1,D1,20091006,000000,128,128,127,127,47560,0
khmotor-D1,D1,20091007,000000,126,126,126,126,24443,0
khmotor-D1,D1,20091010,000000,125,126,125,126,10538,0
khmotor-D1,D1,20091011,000000,126,132,126,128,52408,0
khmotor-D1,D1,20091012,000000,125,125,125,125,4980,0
khmotor-D1,D1,20091013,000000,124,124,124,124,12000,0
khmotor-D1,D1,20091017,000000,124,127,123,127,51045,0
khmotor-D1,D1,20091018,000000,123,130,123,130,124218,0
khmotor-D1,D1,20091020,000000,131,132,131,132,72019,0
khmotor-D1,D1,20091021,000000,134,134,134,134,44710,0
khmotor-D1,D1,20091024,000000,132,132,132,132,572,0
khmotor-D1,D1,20091025,000000,132,132,132,132,34000,0
khmotor-D1,D1,20091026,000000,133,133,131,133,28192,0
khmotor-D1,D1,20091027,000000,128,131,127,128,69884,0
khmotor-D1,D1,20091028,000000,127,131,127,130,56609,0
khmotor-D1,D1,20091031,000000,132,134,130,134,68281,0
khmotor-D1,D1,20091101,000000,136,136,136,136,122158,0
khmotor-D1,D1,20091102,000000,140,140,140,140,75974,0
khmotor-D1,D1,20091103,000000,143,143,140,143,372379,0
khmotor-D1,D1,20091104,000000,144,144,144,144,15374,0
khmotor-D1,D1,20091107,000000,144,145,138,145,30606,0
khmotor-D1,D1,20091108,000000,143,143,143,143,1835,0
khmotor-D1,D1,20091109,000000,138,138,138,138,40000,0
khmotor-D1,D1,20091110,000000,136,136,136,136,5000,0
khmotor-D1,D1,20091111,000000,136,136,136,136,19615,0
khmotor-D1,D1,20091114,000000,135,136,135,136,27306,0
khmotor-D1,D1,20091115,000000,134,134,134,134,20000,0
khmotor-D1,D1,20091116,000000,134,134,134,134,17264,0
khmotor-D1,D1,20091117,000000,133,133,133,133,5469,0
khmotor-D1,D1,20091118,000000,133,133,133,133,2398,0
khmotor-D1,D1,20091124,000000,132,132,132,132,100000,0
khmotor-D1,D1,20091125,000000,129,129,129,129,34608,0
khmotor-D1,D1,20091221,000000,127,127,127,127,500,0
khmotor-D1,D1,20091222,000000,123,123,123,123,1000,0
khmotor-D1,D1,20091228,000000,119,119,119,119,6000,0
khmotor-D1,D1,20091229,000000,115,115,115,115,32453,0
khmotor-D1,D1,20091230,000000,114,114,114,114,19255,0
khmotor-D1,D1,20100102,000000,113,115,113,114,321719,0
khmotor-D1,D1,20100103,000000,115,118,115,118,5543,0
khmotor-D1,D1,20100104,000000,115,115,115,115,1607,0
khmotor-D1,D1,20100105,000000,114,114,114,114,2500,0
khmotor-D1,D1,20100106,000000,116,116,116,116,17600,0
khmotor-D1,D1,20100110,000000,116,116,115,115,11543,0
khmotor-D1,D1,20100111,000000,115,115,115,115,68050,0
khmotor-D1,D1,20100112,000000,113,113,113,113,5471,0
khmotor-D1,D1,20100113,000000,115,115,112,112,26421,0
khmotor-D1,D1,20100116,000000,116,116,116,116,10000,0
khmotor-D1,D1,20100117,000000,118,118,116,116,11505,0
khmotor-D1,D1,20100118,000000,111,112,111,111,86436,0
khmotor-D1,D1,20100119,000000,112,112,109,110,30000,0
khmotor-D1,D1,20100123,000000,115,116,115,116,133751,0
khmotor-D1,D1,20100124,000000,119,119,119,119,18000,0
khmotor-D1,D1,20100125,000000,120,120,119,119,41100,0
khmotor-D1,D1,20100126,000000,119,121,117,118,320300,0
khmotor-D1,D1,20100127,000000,120,123,120,123,85081,0
khmotor-D1,D1,20100130,000000,123,123,123,123,5000,0
khmotor-D1,D1,20100131,000000,117,117,117,117,3900,0
khmotor-D1,D1,20100206,000000,118,126,118,126,10320,0
khmotor-D1,D1,20100207,000000,118,119,118,119,7750,0
khmotor-D1,D1,20100208,000000,119,119,119,119,3500,0
khmotor-D1,D1,20100209,000000,118,118,118,118,16180,0
khmotor-D1,D1,20100214,000000,116,116,116,116,6920,0
khmotor-D1,D1,20100216,000000,125,125,125,125,20000,0
khmotor-D1,D1,20100217,000000,125,125,125,125,10196,0
khmotor-D1,D1,20100228,000000,123,138,123,138,41178,0
khmotor-D1,D1,20100301,000000,132,133,127,127,37632,0
khmotor-D1,D1,20100302,000000,132,134,132,134,33880,0
khmotor-D1,D1,20100303,000000,135,135,135,135,21936,0
khmotor-D1,D1,20100306,000000,136,136,136,136,43676,0
khmotor-D1,D1,20100307,000000,136,136,134,134,4890,0
khmotor-D1,D1,20100308,000000,136,136,135,135,82000,0
khmotor-D1,D1,20100309,000000,134,134,134,134,4300,0
khmotor-D1,D1,20100310,000000,134,137,131,137,42210,0
khmotor-D1,D1,20100313,000000,132,132,132,132,2708,0
khmotor-D1,D1,20100315,000000,130,132,129,129,30000,0
khmotor-D1,D1,20100316,000000,128,128,128,128,2000,0
khmotor-D1,D1,20100317,000000,136,136,136,136,5000,0
khmotor-D1,D1,20100327,000000,130,130,128,128,6854,0
khmotor-D1,D1,20100328,000000,136,136,136,136,10789,0
khmotor-D1,D1,20100329,000000,136,136,136,136,3201,0
khmotor-D1,D1,20100330,000000,136,136,136,136,3500,0
khmotor-D1,D1,20100331,000000,133,136,133,136,3135,0
khmotor-D1,D1,20100403,000000,137,138,137,138,26636,0
khmotor-D1,D1,20100404,000000,138,138,138,138,25436,0
khmotor-D1,D1,20100406,000000,134,134,133,133,36215,0
khmotor-D1,D1,20100407,000000,133,138,133,138,11786,0
khmotor-D1,D1,20100410,000000,138,139,138,139,101387,0
khmotor-D1,D1,20100411,000000,143,143,143,143,30031,0
khmotor-D1,D1,20100412,000000,144,144,144,144,9426,0
khmotor-D1,D1,20100413,000000,135,135,135,135,145,0
khmotor-D1,D1,20100414,000000,143,143,136,136,8460,0
khmotor-D1,D1,20100417,000000,140,140,140,140,1567,0
khmotor-D1,D1,20100418,000000,134,140,134,140,15766,0
khmotor-D1,D1,20100419,000000,136,136,136,136,2200,0
khmotor-D1,D1,20100420,000000,136,136,136,136,2000,0
khmotor-D1,D1,20100421,000000,134,134,134,134,2247,0
khmotor-D1,D1,20100424,000000,134,135,134,135,30000,0
khmotor-D1,D1,20100425,000000,133,133,133,133,5000,0
khmotor-D1,D1,20100426,000000,143,143,134,134,1450,0
khmotor-D1,D1,20100504,000000,133,133,133,133,118137,0
khmotor-D1,D1,20100508,000000,129,129,129,129,830,0
khmotor-D1,D1,20100509,000000,129,129,129,129,30000,0
khmotor-D1,D1,20100510,000000,136,136,129,129,8317,0
khmotor-D1,D1,20100511,000000,129,136,129,136,1086,0
khmotor-D1,D1,20100512,000000,130,130,130,130,10000,0
khmotor-D1,D1,20100515,000000,132,136,131,136,101019,0
khmotor-D1,D1,20100516,000000,136,136,136,136,100,0
khmotor-D1,D1,20100518,000000,136,136,131,131,72500,0
khmotor-D1,D1,20100519,000000,134,134,127,130,170000,0
khmotor-D1,D1,20100522,000000,132,132,132,132,44036,0
khmotor-D1,D1,20100523,000000,130,131,130,131,10470,0
khmotor-D1,D1,20100524,000000,132,132,129,131,207519,0
khmotor-D1,D1,20100526,000000,129,129,129,129,24690,0
khmotor-D1,D1,20100529,000000,129,129,129,129,3548,0
khmotor-D1,D1,20100530,000000,134,134,127,129,102256,0
khmotor-D1,D1,20100531,000000,132,132,132,132,14186,0
khmotor-D1,D1,20100607,000000,126,126,126,126,94536,0
khmotor-D1,D1,20100608,000000,126,126,126,126,34100,0
khmotor-D1,D1,20100609,000000,126,126,126,126,68542,0
khmotor-D1,D1,20100612,000000,122,122,122,122,100,0
khmotor-D1,D1,20100613,000000,127,127,122,122,188247,0
khmotor-D1,D1,20100614,000000,122,122,118,118,203878,0
khmotor-D1,D1,20100623,000000,123,123,123,123,3280,0
khmotor-D1,D1,20100628,000000,124,124,124,124,7475,0
khmotor-D1,D1,20100629,000000,125,125,125,125,129600,0
khmotor-D1,D1,20100630,000000,130,130,130,130,129600,0
khmotor-D1,D1,20100703,000000,135,135,134,135,445164,0
khmotor-D1,D1,20100704,000000,140,140,140,140,559916,0
khmotor-D1,D1,20100705,000000,146,146,146,146,243270,0
khmotor-D1,D1,20100706,000000,151,151,151,151,260745,0
khmotor-D1,D1,20100707,000000,157,157,157,157,272085,0
khmotor-D1,D1,20100711,000000,162,162,151,157,460998,0
khmotor-D1,D1,20100712,000000,155,155,150,155,409227,0
khmotor-D1,D1,20100713,000000,155,155,147,147,417749,0
khmotor-D1,D1,20100714,000000,147,152,146,146,85898,0
khmotor-D1,D1,20100717,000000,144,152,144,152,198063,0
khmotor-D1,D1,20100718,000000,151,151,151,151,189024,0
khmotor-D1,D1,20100719,000000,158,158,157,158,355080,0
khmotor-D1,D1,20100720,000000,162,162,161,161,163380,0
khmotor-D1,D1,20100721,000000,161,163,161,161,198866,0
khmotor-D1,D1,20100725,000000,155,159,155,155,49051,0
khmotor-D1,D1,20100726,000000,159,165,159,163,151000,0
khmotor-D1,D1,20100728,000000,165,168,165,166,160000,0
khmotor-D1,D1,20100731,000000,165,165,165,165,4697,0
khmotor-D1,D1,20100807,000000,161,161,161,161,90000,0
khmotor-D1,D1,20100808,000000,160,161,155,158,171494,0
khmotor-D1,D1,20100809,000000,159,163,158,163,210883,0
khmotor-D1,D1,20100810,000000,164,168,164,168,166083,0
khmotor-D1,D1,20100811,000000,174,174,173,174,423177,0
khmotor-D1,D1,20100814,000000,180,180,180,180,40000,0
khmotor-D1,D1,20100815,000000,172,172,172,172,5280,0
khmotor-D1,D1,20100816,000000,169,176,169,174,70652,0
khmotor-D1,D1,20100817,000000,175,177,174,175,112828,0
khmotor-D1,D1,20100818,000000,175,183,175,183,522796,0
khmotor-D1,D1,20100821,000000,186,186,174,174,79747,0
khmotor-D1,D1,20100822,000000,180,180,173,173,152500,0
khmotor-D1,D1,20100823,000000,179,183,179,183,202237,0
khmotor-D1,D1,20100824,000000,177,177,174,174,17903,0
khmotor-D1,D1,20100825,000000,183,188,183,188,105706,0
khmotor-D1,D1,20100828,000000,191,191,191,191,377921,0
khmotor-D1,D1,20100829,000000,199,199,199,199,418426,0
khmotor-D1,D1,20100830,000000,205,205,203,203,59480,0
khmotor-D1,D1,20100831,000000,193,193,193,193,60000,0
khmotor-D1,D1,20100904,000000,192,198,191,195,154278,0
khmotor-D1,D1,20100905,000000,195,195,186,186,177835,0
khmotor-D1,D1,20100906,000000,188,191,185,191,45498,0
khmotor-D1,D1,20100907,000000,187,187,183,183,190734,0
khmotor-D1,D1,20100908,000000,177,186,177,184,158083,0
khmotor-D1,D1,20100912,000000,186,187,186,187,155014,0
khmotor-D1,D1,20100913,000000,186,190,180,190,206407,0
khmotor-D1,D1,20100914,000000,187,191,187,191,1055351,0
khmotor-D1,D1,20100915,000000,198,198,198,198,131000,0
khmotor-D1,D1,20100918,000000,205,206,195,206,718027,0
khmotor-D1,D1,20100919,000000,212,212,195,195,604969,0
khmotor-D1,D1,20100920,000000,206,206,199,199,110121,0
khmotor-D1,D1,20100921,000000,198,201,198,199,581301,0
khmotor-D1,D1,20100922,000000,205,205,201,203,85510,0
khmotor-D1,D1,20100925,000000,202,205,198,198,119800,0
khmotor-D1,D1,20100926,000000,204,204,196,196,110500,0
khmotor-D1,D1,20100927,000000,200,200,197,197,15000,0
khmotor-D1,D1,20100928,000000,201,201,194,194,179066,0
khmotor-D1,D1,20100929,000000,198,198,190,190,93476,0
khmotor-D1,D1,20101002,000000,192,192,188,188,206675,0
khmotor-D1,D1,20101003,000000,184,184,182,184,160000,0
khmotor-D1,D1,20101005,000000,183,190,183,190,23436,0
khmotor-D1,D1,20101006,000000,184,184,179,179,54500,0
khmotor-D1,D1,20101009,000000,176,183,176,176,86545,0
khmotor-D1,D1,20101010,000000,172,172,171,171,47755,0
khmotor-D1,D1,20101011,000000,170,170,169,169,274050,0
khmotor-D1,D1,20101012,000000,164,164,162,162,100500,0
khmotor-D1,D1,20101013,000000,158,158,158,158,56350,0
khmotor-D1,D1,20101016,000000,158,168,158,168,15000,0
khmotor-D1,D1,20101017,000000,168,168,168,168,83947,0
khmotor-D1,D1,20101018,000000,173,173,173,173,4290,0
khmotor-D1,D1,20101019,000000,173,173,172,172,82051,0
khmotor-D1,D1,20101023,000000,177,177,177,177,4552,0
khmotor-D1,D1,20101024,000000,173,173,172,172,33366,0
khmotor-D1,D1,20101025,000000,174,178,174,178,97084,0
khmotor-D1,D1,20101026,000000,173,183,173,183,43744,0
khmotor-D1,D1,20101027,000000,184,184,183,183,35334,0
khmotor-D1,D1,20101030,000000,174,174,172,174,63307,0
khmotor-D1,D1,20101102,000000,173,173,170,170,34114,0
khmotor-D1,D1,20101103,000000,169,177,168,177,50356,0
khmotor-D1,D1,20101106,000000,166,166,165,165,45000,0
khmotor-D1,D1,20101108,000000,165,168,163,163,70665,0
khmotor-D1,D1,20101109,000000,162,166,162,166,1650,0
khmotor-D1,D1,20101110,000000,166,166,161,161,491357,0
khmotor-D1,D1,20101113,000000,157,161,157,161,25000,0
khmotor-D1,D1,20101114,000000,161,162,161,162,72000,0
khmotor-D1,D1,20101115,000000,156,156,154,154,110678,0
khmotor-D1,D1,20101116,000000,153,154,152,153,668426,0
khmotor-D1,D1,20101120,000000,154,159,154,159,94205,0
khmotor-D1,D1,20101121,000000,161,163,161,163,22528,0
khmotor-D1,D1,20101122,000000,164,164,164,164,1000,0
khmotor-D1,D1,20101123,000000,164,164,164,164,40000,0
khmotor-D1,D1,20101124,000000,166,166,165,166,269000,0
khmotor-D1,D1,20101127,000000,166,166,161,163,119571,0
khmotor-D1,D1,20101128,000000,162,165,162,164,57050,0
khmotor-D1,D1,20101129,000000,164,164,159,159,31000,0
khmotor-D1,D1,20101130,000000,165,165,163,163,4124,0
khmotor-D1,D1,20101205,000000,159,163,159,163,134877,0
khmotor-D1,D1,20101206,000000,159,159,154,154,126947,0
khmotor-D1,D1,20101207,000000,159,165,159,165,45200,0
khmotor-D1,D1,20101208,000000,165,165,165,165,2000,0
khmotor-D1,D1,20101212,000000,159,159,159,159,29820,0
khmotor-D1,D1,20101213,000000,155,155,155,155,1304,0
khmotor-D1,D1,20101214,000000,157,157,157,157,20000,0
khmotor-D1,D1,20101218,000000,157,157,157,157,4526,0
khmotor-D1,D1,20101220,000000,153,156,153,156,371347,0
khmotor-D1,D1,20101221,000000,159,159,158,159,70532,0
khmotor-D1,D1,20101222,000000,159,159,159,159,28000,0
khmotor-D1,D1,20101225,000000,163,163,163,163,2000,0
khmotor-D1,D1,20101226,000000,163,163,163,163,111565,0
khmotor-D1,D1,20101227,000000,163,163,161,161,39000,0
khmotor-D1,D1,20101228,000000,159,161,159,161,12510,0
khmotor-D1,D1,20101229,000000,161,161,157,157,100680,0
khmotor-D1,D1,20110101,000000,159,159,157,157,59135,0
khmotor-D1,D1,20110102,000000,156,156,156,156,30000,0
khmotor-D1,D1,20110103,000000,158,159,158,158,62578,0
khmotor-D1,D1,20110104,000000,158,158,157,158,54810,0
khmotor-D1,D1,20110105,000000,157,165,157,165,220128,0
khmotor-D1,D1,20110108,000000,165,168,163,168,133900,0
khmotor-D1,D1,20110109,000000,170,172,169,172,441327,0
khmotor-D1,D1,20110110,000000,179,179,170,175,809191,0
khmotor-D1,D1,20110111,000000,177,177,171,171,12305,0
khmotor-D1,D1,20110112,000000,171,171,170,170,60929,0
khmotor-D1,D1,20110115,000000,170,170,167,167,77341,0
khmotor-D1,D1,20110116,000000,167,169,167,169,16000,0
khmotor-D1,D1,20110117,000000,166,168,166,168,26109,0
khmotor-D1,D1,20110118,000000,170,170,163,167,85108,0
khmotor-D1,D1,20110119,000000,166,173,165,173,109088,0
khmotor-D1,D1,20110122,000000,168,175,168,175,144890,0
khmotor-D1,D1,20110123,000000,169,175,169,169,77249,0
khmotor-D1,D1,20110124,000000,174,174,171,171,66410,0
khmotor-D1,D1,20110126,000000,174,180,174,180,81939,0
khmotor-D1,D1,20110129,000000,180,184,180,184,193859,0
khmotor-D1,D1,20110130,000000,187,187,184,187,327732,0
khmotor-D1,D1,20110131,000000,194,194,192,194,215706,0
khmotor-D1,D1,20110201,000000,195,201,195,198,282260,0
khmotor-D1,D1,20110205,000000,197,197,191,191,56960,0
khmotor-D1,D1,20110206,000000,188,188,188,188,9037,0
khmotor-D1,D1,20110213,000000,187,187,187,187,10,0
khmotor-D1,D1,20110214,000000,187,187,187,187,10,0
khmotor-D1,D1,20110215,000000,187,187,187,187,10,0
khmotor-D1,D1,20110223,000000,165,165,161,162,330526,0
khmotor-D1,D1,20110226,000000,168,169,165,169,132075,0
khmotor-D1,D1,20110227,000000,168,172,166,166,72943,0
khmotor-D1,D1,20110228,000000,162,169,161,161,139041,0
khmotor-D1,D1,20110301,000000,161,161,158,158,9085,0
khmotor-D1,D1,20110302,000000,159,159,159,159,1895,0
khmotor-D1,D1,20110305,000000,158,168,155,167,165272,0
khmotor-D1,D1,20110306,000000,162,163,162,162,75292,0
khmotor-D1,D1,20110307,000000,161,161,161,161,6598,0
khmotor-D1,D1,20110309,000000,162,166,157,158,36260,0
khmotor-D1,D1,20110313,000000,159,159,159,159,10000,0
khmotor-D1,D1,20110316,000000,166,166,162,166,72949,0
khmotor-D1,D1,20110319,000000,168,170,168,170,63882,0
khmotor-D1,D1,20110326,000000,173,173,173,173,5514,0
khmotor-D1,D1,20110327,000000,173,173,173,173,131000,0
khmotor-D1,D1,20110328,000000,175,179,175,179,57816,0
khmotor-D1,D1,20110329,000000,181,181,181,181,25120,0
khmotor-D1,D1,20110330,000000,180,180,180,180,3979,0
khmotor-D1,D1,20110404,000000,177,183,169,183,290458,0
khmotor-D1,D1,20110405,000000,187,187,177,178,75251,0
khmotor-D1,D1,20110406,000000,175,185,175,177,98821,0
khmotor-D1,D1,20110409,000000,185,185,172,172,99213,0
khmotor-D1,D1,20110410,000000,172,172,169,169,112500,0
khmotor-D1,D1,20110411,000000,164,173,164,172,271900,0
khmotor-D1,D1,20110412,000000,172,174,172,174,110007,0
khmotor-D1,D1,20110413,000000,174,174,172,172,85835,0
khmotor-D1,D1,20110416,000000,172,175,171,174,299845,0
khmotor-D1,D1,20110417,000000,175,175,172,174,202382,0
khmotor-D1,D1,20110418,000000,174,174,174,174,19828,0
khmotor-D1,D1,20110419,000000,174,174,168,173,84743,0
khmotor-D1,D1,20110420,000000,169,174,169,174,149200,0
khmotor-D1,D1,20110423,000000,169,178,169,173,88039,0
khmotor-D1,D1,20110424,000000,180,180,174,174,27934,0
khmotor-D1,D1,20110425,000000,177,182,175,182,292024,0
khmotor-D1,D1,20110426,000000,180,181,174,179,354376,0
khmotor-D1,D1,20110503,000000,173,176,172,176,279995,0
khmotor-D1,D1,20110504,000000,177,180,173,180,218083,0
khmotor-D1,D1,20110508,000000,174,177,172,177,38801,0
khmotor-D1,D1,20110509,000000,175,181,175,181,147219,0
khmotor-D1,D1,20110510,000000,187,187,187,187,126132,0
khmotor-D1,D1,20110511,000000,194,194,180,181,273663,0
khmotor-D1,D1,20110516,000000,183,183,183,183,20,0
khmotor-D1,D1,20110518,000000,183,183,183,183,80,0
khmotor-D1,D1,20110525,000000,183,183,183,183,1889,0
khmotor-D1,D1,20110528,000000,183,183,183,183,20000,0
khmotor-D1,D1,20110529,000000,181,181,181,181,10000,0
khmotor-D1,D1,20110530,000000,181,181,181,181,20,0
khmotor-D1,D1,20110601,000000,181,181,181,181,10,0
khmotor-D1,D1,20110606,000000,181,181,181,181,70,0
khmotor-D1,D1,20110607,000000,181,181,181,181,20,0
khmotor-D1,D1,20110608,000000,181,181,181,181,10,0
khmotor-D1,D1,20110611,000000,173,173,166,166,321430,0
khmotor-D1,D1,20110612,000000,169,169,164,165,59342,0
khmotor-D1,D1,20110613,000000,164,164,164,164,3000,0
khmotor-D1,D1,20110614,000000,161,163,161,163,39914,0
khmotor-D1,D1,20110615,000000,159,168,159,159,60000,0
khmotor-D1,D1,20110618,000000,156,166,156,166,52276,0
khmotor-D1,D1,20110619,000000,156,158,156,156,47517,0
khmotor-D1,D1,20110621,000000,164,164,164,164,3862,0
khmotor-D1,D1,20110622,000000,160,160,160,160,1000,0
khmotor-D1,D1,20110625,000000,154,154,154,154,11400,0
khmotor-D1,D1,20110626,000000,153,154,153,153,99000,0
khmotor-D1,D1,20110627,000000,154,154,153,153,7123,0
khmotor-D1,D1,20110628,000000,156,156,155,155,18525,0
khmotor-D1,D1,20110629,000000,155,156,155,156,24931,0
khmotor-D1,D1,20110702,000000,161,161,159,159,10000,0
khmotor-D1,D1,20110703,000000,160,160,160,160,5000,0
khmotor-D1,D1,20110704,000000,161,161,153,153,6635,0
khmotor-D1,D1,20110711,000000,150,151,150,150,5000,0
khmotor-D1,D1,20110713,000000,161,161,161,161,10000,0
khmotor-D1,D1,20110716,000000,159,161,159,161,87342,0
khmotor-D1,D1,20110718,000000,161,161,152,152,19795,0
khmotor-D1,D1,20110719,000000,153,153,151,151,49766,0
khmotor-D1,D1,20110720,000000,155,155,150,150,107581,0
khmotor-D1,D1,20110723,000000,152,152,152,152,400,0
khmotor-D1,D1,20110724,000000,151,156,151,156,67248,0
khmotor-D1,D1,20110725,000000,151,151,151,151,675,0
khmotor-D1,D1,20110726,000000,158,158,158,158,2178,0
khmotor-D1,D1,20110727,000000,150,159,150,159,44000,0
khmotor-D1,D1,20110730,000000,152,152,149,149,3573,0
khmotor-D1,D1,20110731,000000,149,149,149,149,17577,0
khmotor-D1,D1,20110801,000000,148,150,148,150,14922,0
khmotor-D1,D1,20110806,000000,148,148,147,147,40552,0
khmotor-D1,D1,20110807,000000,145,145,145,145,35005,0
khmotor-D1,D1,20110808,000000,144,147,144,147,59003,0
khmotor-D1,D1,20110809,000000,141,141,141,141,20000,0
khmotor-D1,D1,20110810,000000,143,144,143,144,35000,0
khmotor-D1,D1,20110813,000000,145,145,145,145,36000,0
khmotor-D1,D1,20110814,000000,145,147,145,145,62939,0
khmotor-D1,D1,20110815,000000,145,145,144,145,41443,0
khmotor-D1,D1,20110816,000000,144,145,144,144,55800,0
khmotor-D1,D1,20110817,000000,144,144,142,142,12418,0
khmotor-D1,D1,20110820,000000,147,147,145,145,2000,0
khmotor-D1,D1,20110821,000000,142,142,142,142,18420,0
khmotor-D1,D1,20110823,000000,150,150,150,150,25000,0
khmotor-D1,D1,20110824,000000,150,150,150,150,225598,0
khmotor-D1,D1,20110827,000000,156,156,156,156,444502,0
khmotor-D1,D1,20110828,000000,163,163,162,163,681373,0
khmotor-D1,D1,20110829,000000,156,160,156,160,32100,0
khmotor-D1,D1,20110830,000000,155,167,155,156,229648,0
khmotor-D1,D1,20110903,000000,169,170,164,170,201000,0
khmotor-D1,D1,20110904,000000,174,174,170,170,230957,0
khmotor-D1,D1,20110905,000000,170,181,170,180,454328,0
khmotor-D1,D1,20110906,000000,181,183,177,183,55000,0
khmotor-D1,D1,20110907,000000,170,181,170,180,34000,0
khmotor-D1,D1,20110910,000000,172,172,172,172,9400,0
khmotor-D1,D1,20110911,000000,171,171,171,171,25000,0
khmotor-D1,D1,20110912,000000,170,170,170,170,10000,0
khmotor-D1,D1,20110914,000000,169,169,169,169,2500,0
khmotor-D1,D1,20110917,000000,169,169,169,169,100,0
khmotor-D1,D1,20110920,000000,169,169,169,169,400,0
khmotor-D1,D1,20110921,000000,169,169,169,169,5500,0
khmotor-D1,D1,20110925,000000,169,169,169,169,200,0
khmotor-D1,D1,20110926,000000,169,169,169,169,100,0
khmotor-D1,D1,20111003,000000,169,169,169,169,86800,0
khmotor-D1,D1,20111004,000000,164,164,164,164,60000,0
khmotor-D1,D1,20111005,000000,161,170,161,170,40360,0
khmotor-D1,D1,20111008,000000,163,163,161,161,13489,0
khmotor-D1,D1,20111009,000000,163,163,163,163,50000,0
khmotor-D1,D1,20111011,000000,159,163,159,159,13299,0
khmotor-D1,D1,20111012,000000,160,163,160,161,36368,0
khmotor-D1,D1,20111015,000000,161,161,161,161,5348,0
khmotor-D1,D1,20111016,000000,159,159,156,156,217627,0
khmotor-D1,D1,20111017,000000,151,152,151,152,81482,0
khmotor-D1,D1,20111018,000000,160,161,160,161,34072,0
khmotor-D1,D1,20111019,000000,154,154,152,154,40704,0
khmotor-D1,D1,20111023,000000,154,154,154,154,25000,0
khmotor-D1,D1,20111024,000000,154,154,154,154,5503,0
khmotor-D1,D1,20111025,000000,154,154,154,154,8537,0
khmotor-D1,D1,20111029,000000,149,149,149,149,5348,0
khmotor-D1,D1,20111031,000000,149,149,149,149,1600,0
khmotor-D1,D1,20111108,000000,149,149,149,149,16000,0
khmotor-D1,D1,20111109,000000,149,149,149,149,10400,0
khmotor-D1,D1,20111112,000000,159,159,159,159,30847,0
khmotor-D1,D1,20111113,000000,149,150,149,149,4234,0
khmotor-D1,D1,20111116,000000,149,149,149,149,42110,0
khmotor-D1,D1,20111120,000000,149,149,149,149,7720,0
khmotor-D1,D1,20111121,000000,152,152,152,152,5000,0
khmotor-D1,D1,20111123,000000,147,147,147,147,8300,0
khmotor-D1,D1,20111126,000000,147,147,147,147,10000,0
khmotor-D1,D1,20111127,000000,146,147,146,147,16234,0
khmotor-D1,D1,20111128,000000,146,146,145,145,56960,0
khmotor-D1,D1,20111129,000000,149,149,149,149,19000,0
khmotor-D1,D1,20111203,000000,143,143,143,143,2698,0
khmotor-D1,D1,20111207,000000,154,154,154,154,10000,0
khmotor-D1,D1,20111211,000000,145,147,143,147,58000,0
khmotor-D1,D1,20111214,000000,151,151,151,151,5000,0
khmotor-D1,D1,20111217,000000,151,151,151,151,3000,0
khmotor-D1,D1,20111219,000000,147,152,147,149,65000,0
khmotor-D1,D1,20111220,000000,147,147,147,147,15000,0
khmotor-D1,D1,20111221,000000,147,152,145,145,25000,0
khmotor-D1,D1,20111225,000000,154,154,154,154,16800,0
khmotor-D1,D1,20111228,000000,147,154,147,154,13520,0
khmotor-D1,D1,20111231,000000,154,154,154,154,341,0
khmotor-D1,D1,20120101,000000,149,149,143,143,33400,0
khmotor-D1,D1,20120102,000000,154,154,145,145,22188,0
khmotor-D1,D1,20120103,000000,149,149,146,146,37699,0
khmotor-D1,D1,20120104,000000,153,153,153,153,23581,0
khmotor-D1,D1,20120107,000000,154,154,154,154,336097,0
khmotor-D1,D1,20120108,000000,159,159,149,149,51360,0
khmotor-D1,D1,20120109,000000,155,155,155,155,60557,0
khmotor-D1,D1,20120110,000000,155,155,154,154,29009,0
khmotor-D1,D1,20120111,000000,148,150,148,149,60500,0
khmotor-D1,D1,20120115,000000,156,156,155,156,30000,0
khmotor-D1,D1,20120116,000000,156,156,156,156,5000,0
khmotor-D1,D1,20120117,000000,150,153,149,149,77730,0
khmotor-D1,D1,20120118,000000,150,153,149,153,56027,0
khmotor-D1,D1,20120123,000000,154,154,154,154,10000,0
khmotor-D1,D1,20120128,000000,151,154,151,154,10292,0
khmotor-D1,D1,20120129,000000,154,154,154,154,31949,0
khmotor-D1,D1,20120130,000000,155,158,155,158,179949,0
khmotor-D1,D1,20120131,000000,162,162,156,156,21700,0
khmotor-D1,D1,20120201,000000,159,159,156,156,13745,0
khmotor-D1,D1,20120204,000000,153,153,153,153,5000,0
khmotor-D1,D1,20120206,000000,150,157,150,151,16940,0
khmotor-D1,D1,20120207,000000,152,152,150,151,16317,0
khmotor-D1,D1,20120208,000000,151,155,150,150,36382,0
khmotor-D1,D1,20120212,000000,151,151,151,151,37400,0
khmotor-D1,D1,20120213,000000,150,155,148,148,47925,0
khmotor-D1,D1,20120214,000000,146,153,146,153,30000,0
khmotor-D1,D1,20120219,000000,145,145,145,145,46000,0
khmotor-D1,D1,20120220,000000,148,154,146,154,17775,0
khmotor-D1,D1,20120221,000000,148,148,148,148,9170,0
khmotor-D1,D1,20120222,000000,146,146,146,146,20000,0
